IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.16.11.123,35,180,115,0
104.17.172.193,35,189,118,0
104.18.71.154,35,179,120,0
104.18.155.20,34,190,124,0
104.17.108.87,35,190,130,0
104.17.97.90,34,190,135,0
162.159.49.17,34,226,139,0
104.17.188.132,34,191,144,0
104.17.17.195,119,180,149,0
104.16.39.121,118,179,152,0
104.17.241.110,118,179,152,0
104.17.237.38,119,180,155,0
104.17.252.254,119,180,158,0
104.16.50.57,118,180,158,0
104.17.232.38,118,179,158,0
104.16.45.34,119,189,160,0
104.16.44.7,119,180,161,0
104.19.162.233,147,181,161,0
104.17.29.10,119,179,161,0
172.66.43.9,147,179,161,0
104.17.27.144,118,180,161,0
104.18.28.100,148,180,161,0
104.17.226.184,119,179,163,0
172.66.46.187,148,179,164,0
104.16.58.32,119,180,164,0
104.16.63.3,119,180,164,0
104.18.30.251,121,183,164,0
104.16.36.37,118,184,164,0
104.18.23.30,149,180,165,0
104.19.175.95,148,180,166,0
104.17.238.243,118,181,167,0
172.66.44.58,147,180,167,0
104.16.35.196,119,182,167,0
104.16.29.227,154,191,168,0
104.16.214.144,131,191,168,0
104.16.61.174,148,179,170,0
104.18.26.24,149,181,170,0
104.17.246.86,118,182,170,0
104.17.254.209,149,183,170,0
104.17.36.173,131,189,170,0
104.17.80.251,154,190,170,0
104.17.84.107,131,191,171,0
104.16.223.74,154,192,171,0
104.18.138.143,132,191,172,0
104.17.228.144,148,180,172,0
104.18.17.69,147,181,173,0
104.16.22.212,154,189,174,0
104.17.157.140,155,192,174,0
104.16.200.233,153,188,174,0
104.16.66.234,131,191,174,0
104.18.208.44,154,190,175,0
104.18.143.225,158,191,176,0
104.16.26.183,129,191,177,0
104.16.205.163,160,190,178,0
104.16.163.81,154,191,179,0
104.19.187.167,155,191,179,0
104.16.176.150,131,190,179,0
104.16.113.195,158,193,181,0
104.18.107.104,155,191,182,0
104.25.138.233,159,215,189,0
104.19.8.133,131,225,189,0
162.159.20.161,34,223,189,0
104.27.120.218,129,222,190,0
104.20.209.187,159,222,197,0
104.20.136.230,161,223,200,0
104.25.219.220,161,223,204,0
104.25.85.242,189,222,211,0
104.17.195.64,35,182,90,10
104.18.73.92,34,178,102,10
104.19.149.6,34,191,111,10
104.18.189.46,35,179,111,10
104.17.218.111,34,192,120,10
104.17.102.41,34,188,121,10
104.17.182.52,33,189,122,10
104.16.241.51,35,195,125,10
104.18.146.5,34,187,127,10
104.16.4.73,36,179,127,10
104.17.62.138,33,190,130,10
104.17.96.88,35,192,131,10
104.17.179.27,35,189,133,10
104.17.216.21,34,191,133,10
104.17.136.212,35,188,134,10
104.17.187.221,33,191,135,10
104.16.8.30,36,179,137,10
104.19.208.142,35,191,142,10
104.19.215.190,34,192,145,10
104.17.206.21,36,190,148,10
104.18.168.56,35,191,148,10
104.19.168.225,118,180,149,10
104.19.154.88,35,194,151,10
104.16.1.235,36,180,153,10
172.66.40.193,118,180,155,10
104.16.42.43,119,181,156,10
104.17.21.202,118,180,158,10
104.17.231.36,147,178,159,10
104.16.55.165,119,179,159,10
23.227.39.79,147,179,162,10
104.17.30.150,118,179,162,10
104.17.23.67,118,180,162,10
104.18.21.163,147,180,162,10
104.17.230.108,147,179,165,10
104.18.18.229,148,181,166,10
104.18.141.131,130,190,166,10
104.18.20.36,149,180,166,10
104.17.92.134,129,198,167,10
104.16.62.193,148,179,168,10
104.17.69.48,131,190,168,10
104.18.102.80,131,189,168,10
104.16.51.31,148,180,169,10
104.17.4.224,130,190,169,10
104.17.31.46,149,180,169,10
104.18.216.69,154,189,170,10
104.22.24.119,131,189,171,10
104.17.9.192,130,188,172,10
104.18.2.36,148,180,172,10
104.17.70.204,130,195,172,10
104.16.218.110,131,190,172,10
104.16.125.39,160,190,173,10
104.16.192.248,131,191,173,10
104.22.6.206,158,189,174,10
104.16.17.31,131,190,175,10
104.22.13.249,130,191,175,10
104.18.240.105,158,191,175,10
104.18.109.108,159,191,175,10
104.19.186.21,131,191,176,10
104.17.87.183,160,192,176,10
104.17.13.9,153,191,178,10
104.17.43.177,154,191,178,10
104.16.231.169,155,191,178,10
104.17.83.23,159,191,178,10
104.17.5.21,155,192,178,10
104.19.248.92,161,190,179,10
104.16.183.204,160,191,180,10
104.16.92.192,160,190,183,10
104.19.246.35,131,215,185,10
172.65.253.200,161,191,186,10
104.22.14.177,159,197,187,10
104.25.239.206,154,223,188,10
104.24.48.227,159,222,188,10
104.24.73.211,159,217,189,10
104.24.232.51,160,223,190,10
104.20.128.161,130,223,190,10
104.27.109.138,161,215,191,10
104.25.218.152,153,215,191,10
104.27.56.105,156,223,194,10
104.19.34.108,161,217,194,10
104.24.179.195,156,215,195,10
104.24.135.76,160,217,196,10
104.25.13.243,153,215,196,10
104.20.192.130,161,223,196,10
104.20.143.20,161,216,196,10
